id;tipoEquipamiento;postalCode;latitud;longitud
1573;ferreterias--iluminacion--decoracion;50008;41.64417678;-0.884747146
1574;mercerias;50001;41.64417858;-0.893585747
1575;hogar-y-decoracion;50005;41.64418391;-0.895280735
1576;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64418391;-0.895280735
1577;bazares;50001;41.64418596;-0.874787089
1578;herboristerias--dieteticas;50001;41.64419051;-0.885551412
1579;moda-mujer--hombre--infantil;50001;41.64419303;-0.865893095
1580;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64421134;-0.8793014
1581;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64421667;-0.866530251
1582;juguetes--articulos-deporte;50001;41.64422866;-0.882543586
1583;supermercados-grandes;50001;41.64422914;-0.910827153
1584;hogar-y-decoracion;50001;41.64424547;-0.883215793
1585;bazares;50001;41.64425459;-0.882049965
1586;carnicerias--charcuterias;50001;41.64425705;-0.866158739
1587;centros-educativos;50002;41.64428346;-0.861536579
1588;cristalerias--carpinterias--puertas--persianas...;50001;41.64428453;-0.8981827
1589;antenas-en-centros-educativos-y-juveniles;50009;41.64428474;-0.909829244
1590;ferreterias--iluminacion--decoracion;50001;41.64430353;-0.875752316
1591;moda-mujer--hombre--infantil;50001;41.64430392;-0.891351099
1592;moda-mujer--hombre--infantil;50001;41.64430452;-0.885492328
1593;librerias--papelerias--quioscos-y-prensa;50001;41.64431057;-0.859994212
1594;concesionarios-de-automoviles-y-motocicletas;50001;41.64431811;-0.874024374
1595;centros-educativos;50012;41.64431813;-0.924267116
1596;editorial;50002;41.64431877;-0.858608082
1597;tiendas-alimentacion;50001;41.64432127;-0.870840827
1598;centros-educativos;50009;41.64432827;-0.90167235
1599;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50001;41.64433002;-0.878948938
1600;estancos;50001;41.6443304;-0.8718436
1601;salas-de-musica;50008;41.64433208;-0.87894875
1602;instalacion-deportiva-elemental;50009;41.64433311;-0.908058667
1603;centros-de-tiempo-libre;50005;41.64433697;-0.89781994
1604;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50006;41.64434508;-0.890743276
1605;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.64434859;-0.879422969
1606;residencias;50005;41.64434996;-0.892696195
1607;fruterias--verdulerias;50001;41.64435027;-0.85945702
1608;fruterias--verdulerias;50001;41.64435089;-0.874364778
1609;carnicerias--charcuterias;50001;41.64435256;-0.874590937
1610;farmacias;50002;41.64436595;-0.867405082
1611;panaderias--pastelerias;50001;41.64437416;-0.895214142
1612;lencerias;50001;41.64437558;-0.883331242
1613;farmacias;50013;41.64438355;-0.870396793
1614;piscinas-de-verano;50012;41.64438523;-0.922648916
1615;fruterias--verdulerias;50001;41.64439096;-0.881786982
1616;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64439101;-0.860797584
1617;bazares;50001;41.6444071;-0.887992458
1618;salud-y-bienestar;50017;41.64440928;-0.89575404
1619;concesionarios-de-automoviles-y-motocicletas;50001;41.64441127;-0.898420281
1620;juguetes--articulos-deporte;50001;41.64441971;-0.896524799
1621;tiendas-alimentacion;50005;41.64443184;-0.893874908
1622;farmacias;50008;41.64443341;-0.878734219
1623;panaderias--pastelerias;50001;41.64443383;-0.866492102
1624;moda-mujer--hombre--infantil;50001;41.64443861;-0.895939435
1625;supermercados-grandes;50001;41.64444384;-0.866696853
1626;panaderias--pastelerias;50001;41.64444669;-0.876777701
1627;supermercados-grandes;50001;41.64445029;-0.888117602
1628;muebles;50001;41.64445208;-0.891214305
1629;bazares;50001;41.64445881;-0.874950057
1630;ofimatica;50001;41.64446192;-0.875877386
1631;moda-mujer--hombre--infantil;50001;41.64448159;-0.883424667
1632;centros-de-dia-s.-sociales;50009;41.64448792;-0.912442996
1633;moda-mujer--hombre--infantil;50001;41.64448854;-0.882663066
1634;librerias--papelerias--quioscos-y-prensa;50001;41.64450685;-0.864577195
1635;oficinas-de-correos;50013;41.64451549;-0.868144589
1636;centros-educativos;50002;41.64452121;-0.863993774
1637;panaderias--pastelerias;50001;41.64452945;-0.907613808
1638;calzados--complementos--maletas;50001;41.64453091;-0.885172373
1639;segunda-mano;50001;41.64454333;-0.89386455
1640;pescaderias;50001;41.64454968;-0.884915286
1641;juguetes--articulos-deporte;50001;41.64455427;-0.882491371
1642;moda-novia--uniformes-colegios--ropa-trabajo...;50001;41.64455442;-0.894130627
1643;piscinas-de-verano;50002;41.64456027;-0.855300038
1644;farmacias;50013;41.64456477;-0.872515365
1645;joyerias--relojerias--bisuteria;50001;41.6445735;-0.89562802
1646;moda-mujer--hombre--infantil;50001;41.64457605;-0.883506583
1647;panaderias--pastelerias;50001;41.64459235;-0.86660898
1648;herboristerias--dieteticas;50001;41.64459328;-0.881842307
1649;libreria;50005;41.64459476;-0.897295244
1650;alimentacion;50005;41.64459943;-0.896143604
1651;moda-mujer--hombre--infantil;50001;41.64459943;-0.896143604
1652;alimentacion;50005;41.64460086;-0.891811849
1653;panaderias--pastelerias;50001;41.64460086;-0.891811849
1654;librerias--papelerias--quioscos-y-prensa;50001;41.64460118;-0.882773803
1655;pintura--bricolage;50001;41.64460376;-0.862888069
1656;farmacias;50008;41.6446231;-0.880764046
1657;ferreterias--iluminacion--decoracion;50001;41.64462592;-0.886590792
1658;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64462753;-0.891052366
1659;infancia;50012;41.64463615;-0.926415916
1660;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64463858;-0.875782485
